标题,链接,价格,作者,出版时间,评论数,简介
Python编程 从入门到实践 第2版 零基础学Python编程教程书籍，数据分析、网络爬虫、深度学习必备技能，畅销经典蟒蛇书升级版，附赠源代码、练习答案、学习视频、配套编程环境、学习速查地图读者交流群等资源。,http://product.dangdang.com/24003310.html,¥59.70,[美]埃里克・马瑟斯（Eric Matthes）,2020/9/1,155236,1.前一版中文版重印30余次，销量750 000册； 2.针对Python 3.x新特性升级，重写项目代码； 3.真正零基础，自学也轻松； 4.赠送配套学习视频和配套编程环境，边看边学更便捷； 5.赠送Python学习速查地图，掌握编程语言关键步骤，学习不迷路； 6.提供读者学习交流群，不懂就问，近距离接触行业大佬； 7.赠送学习源代码文件、练习答案，助读者零压力掌握Python语言！ 本书内容分为 基础知识 和 项目 两部分。读完本书，读者不仅能快速掌握编程基础知识，还能编写出解决实际问题的代码并开发复杂的项目。第2版沿袭第1版讲解清晰透彻、循序渐进的特点，并全面升级。 一部分 基础知识 新增Sublime Text、f字符串、大数表示法和常量表示法等主题，并且更准确地描述了Python语言的细节。第二部分 项目 采用更简明的结构、更清晰的语法以及更流行的库和工具，如Plotly和新
Python编程快速上手 让繁琐工作自动化（Python3编程从入门到实践 新手学习必备用书） Python3编程从入门到实践美亚畅销Python编程入门图书 Python3实战指南 带你快速实现Python高效编程,http://product.dangdang.com/23997502.html,¥46.30,[美] Al Sweigart 斯维加特,2016/6/1,36058,"亚马逊畅销Python编程图书，帮助你通过编程快速实现工作自动化在本书中，你将学习利用Python 编程，在几分钟内完成手工需要几小时的工作，而事先却无需具备编程经验。一旦掌握了编程的基础知识，你就可以毫不费力地创建Python 程序，完成高效的自动化工作，包括：● 在一个文件或多个文件中搜索文本；● 创建、更新、移动和重命名文件和文件夹；● 搜索网页和下载的在线内容；● 在任意大小的Excel电子表格中更新和格式化数据；● 拆分、合并PDF文件，以及如何加水印和加密；● 发送提醒邮件和文本通知；● 填写在线表格。本书的作者Al Sweigart是一位杰出Python程序员,他还是《Python 密码学编程》、《Python 游戏编程快速上手》和《Python 和Pygame 游戏开发指南》的作者。"
Python基础教程(第2版・修订版) 【图灵程序设计丛书】Python入门佳作 Python编程从入门到实践 机器学习 数据处理 网络爬虫热门编程语言 主打Python2 涉及Python3,http://product.dangdang.com/23473514.html,¥54.50,(挪)海特兰德,2014/6/1,29380,本书是经典的Python入门教程，层次鲜明，结构严谨，内容翔实，特别是后几章，作者将前面讲述的内容应用到10个引人入胜的项目中，并以模板的形式介绍了项目的开发过程，手把手教授Python开发，让读者从项目中领略Python的真正魅力。 本书既适合初学者夯实基础，又能帮助Python程序员提升技能，即使是Python方面的技术专家，也能从书里找到耳目一新的内容。
Python核心编程 第3版 畅销经典的Python基础教程学习手册进阶图书 兼顾Python2和Python3 机器学习 数据处理 网络爬虫热门编程语言 Python开发人员的案头常备,http://product.dangdang.com/23961748.html,¥68.30,[美]卫斯理 春（Wesley Chun）,2016/5/1,24356,全面涵盖当今应用开发中的众多领域为中级Python开发人员提供杰出实践方法涵盖大量实用的代码案例每章末尾的习题有助于巩固所学知识 想进一步提升Python编程水平？请深入分析真实应用程序中使用的大量相关主题涵盖了正则表达式、Internet/网络编程、GUI、SQL/数据库/ORM、多线程、Web开发了解当前的开发区域，比如Google 、Twitter、MongoDB、OAuth、Python 3迁移、Java/Jython囊括有关Django、Google App Engine、CSV/JSON/XML和Microsoft Office的全新内容。包含Python 2和Python 3代码，以便立即可以使用提供了代码片段、互动案例和实用练习，旨在巩固Python技能 Python是一种灵活、可靠且具有表现力的编程语言，它将编译语言的强大与脚本语言的简洁性、快速开发特性整合起来。在《 Python核心编程 第3版 》中，杰出Python开发人员兼企业培训师Wesley Chun会帮助您将Python技能提升到更高的水平。《Py
利用Python进行数据分析（原书第2版） Python数据分析经典畅销书全新升级，第1版中文版累计销售100000册 Python pandas创始人亲自执笔，Python语言的核心开发人员鼎立推荐 针对Python 3.6进行全面修订和更新,http://product.dangdang.com/25312917.html,¥77.40,[美]韦斯・麦金尼（Wes McKinney）,2018/7/30,22452,阅读本书可以获得一份关于在Python下操作、处理、清洗、规整数据集的完整说明。本书第二版针对Python 3.6进行了更新，并增加实际案例向你展示如何高效地解决一系列数据分析问题。你将在阅读过程中学习到*版本的pandas、NumPy、IPython和Jupyter。 本书由Wes McKinney创作，他是Python pandas项目的创始人。本书是对Python数据科学工具的实操化、现代化的介绍，非常适合刚学Python的数据分析师或刚学数据科学以及科学计算的Python编程者。数据文件和相关的材料可以在GitHub上找到： l 使用IPython shell和Jupyter notebook进行探索性计算 l 学习NumPy(Numerical Python)的基础和高级特性 l 入门pandas库中的数据分析工具 l 使用灵活工具对数据进行载入、清洗、变换、合并和重塑 l 使用matplotlib创建富含信息的可视化 l 将pandas的groupby功能应用于对数据集的切片、分块和汇总 l 分析
对比Excel，轻松学习Python数据分析 数据分析师入门实操工具书，对比Excel操作学习Python代码，低门槛、高效率，送数据分析课程，送数据分析师知识图谱,http://product.dangdang.com/26512595.html,¥52.50,张俊红,2019/2/1,21419,Python虽然是一门编程语言，但是在数据分析领域实现的功能和Excel的基本功能一样，而Excel又是大家比较熟悉、容易上手的软件，可以通过Excel数据分析去对比学习Python数据分析。本书将数据分析过程中涉及的每一个操作都对照讲解，让你从熟悉的Excel操作中去学习对应的Python实现，而不是直接学习Python代码，大大降低了学习门槛，消除了大家对代码的恐惧心理。这也是本书的一大特色，让读者可以像学Excel数据分析一样，轻松学习Python数据分析。
Python基础教程（第3版） 【图灵程序设计丛书】Python3.5编程从入门到实践 Python入门佳作 机器学习 人工智能 数据处理 网络爬虫热门编程语言 累计销售20万册,http://product.dangdang.com/25218035.html,¥66.40,[挪]芒努斯・利・海特兰德（Magnus Lie Hetland）,2018/2/1,21305,本书是经典的Python入门教程，层次鲜明、结构严谨、内容翔实，特别是后面几章，作者将前面讲述的内容应用到10个引人入胜的项目中，并以模板的形式介绍了项目的开发过程，手把手教授Python编程实践，让读者从项目中领略Python的真正魅力。 本书既适合初学者夯实基础，又能帮助Python程序员提升技能，即使是中高-级Python程序员，也能从书里找到耳目一新的内容。
码农翻身（好玩有趣的编程知识） 用故事给技术加点料，全网阅读量近1000万次的技术故事，讲解Python、Java编程思想、JavaScript、架构、代码管理等，帮你理解技术起源和本质。《Java开发手册》作者孤尽等专家推荐。,http://product.dangdang.com/25276414.html,¥66.20,刘欣（@码农翻身）,2018/5/1,20008,把计算机元素和行为用拟人手法编成一个个精彩纷呈的故事，绘声绘色且深入浅出地演绎晦涩枯燥的编程知识。 编程初学者可以津津有味地学习，老手也能饶有兴致地查漏补缺。 从前端到后端，从原理到编程，脉络清晰，体系完整。
教孩子学编程 Python语言版 少儿编程入门书 高中新课标必修编程入门书 中小学编程自学教程 基于Python3编写的程序设计入门书 学习计算机思维方式 构建编程思维 寓教于乐全彩印刷,http://product.dangdang.com/23928893.html,¥40.70,[美] Bryson Payne,2016/3/1,15507,本书属于No Starch的经典系列之一，英文版在美国受到读者欢迎。本书全彩印刷，寓教于乐，易于学习；读者可以轻松与快递地掌握解决问题方法和程序设计思维的。 编程从孩子抓起 得到越来越多的人的认同和重视。本书是父母教孩子学习Python程序设计的亲子读物。
Python 3网络爬虫开发实战 【图灵原创】博客文章访问量过百万的博主倾力打造，教你学会如何用Python 3开发爬虫,http://product.dangdang.com/25249602.html,¥66.40,崔庆才,2018/4/1,14972,案例丰富，注重实战博客文章过百万的静觅大神力作全面介绍了数据采集、数据存储、动态网站爬取、App爬取、验证码破解、模拟登录、代理使用、爬虫框架、分布式爬取等知识涉及的库或工具：urllib、requests、Beautiful Soup、XPath、pyquery、redis-py、PyMongo、PyMySQL、Selenium、Splash、Charles、mitmproxy、mitmdump、Appium、pyspider、Scrapy、Scrapy-Redis、Scrapy-Splash、Docker、Bloom Filter、Gerapy等
